"title_abb","title","id","color","image","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01"
"CS","Counter-Strike","10","1D2C68","https://plotset.com/assets/images/steam-icons/Counter-Strike.jpg","53967","53685","55321","56053","56957","61189","65188","60134","49412","43856","36913","35960","34412","34230","36983","36655","39826","40743","44491","41945","39230","35774","33755","31392","30469","29564","30379","31690","33495","36393","37018","34453","33107","30333","26466","24177","23624","22650","23130","24278","26133","27926","29670","29617","28136","24994","22998","22585","21136","21491","21984","23413","24792","26909","29300","28071","26577","22842","21838","20229","20303","18292","18685","20764","24734","25689","27589","26135","25812","22637","18895","18604","18703","17093","17531","18183","20591","21858","22902","21432","19302","17373","16503","14925","15309","14902","14661","14937","15994","18196","19141","17705","30500","31782","29589","21446","18159","16485","16041","17908","20908","22645","23762","21626","22140","21562","18089","16391","14972","14064","14559","15631","16321","16534","18392","18714","16745","16636","14189","13707","14019","13191","13455","13709","15888","14425","14728","14019"
"Dota Underlords","Dota Underlords","1046930","1A2217","https://plotset.com/assets/images/steam-icons/Dota%20Underlords.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","202254","111805","74189","44760","43557","32872","20177","14783","30553","29166","23007","11521","9553","9055","12211","10487","8084","7005","8344","6337","6114","6340","6316","5438","4996","4537","4475","4194","3848","3654","3384","3571","3397","3536","3693","3444","3396","3322","3211","3103","3363","2853","2480","2492","2191"
"Terraria","Terraria","105600","52831F","https://plotset.com/assets/images/steam-icons/Terraria.jpg","16097","8399","8503","6664","10799","9119","13303","8502","14259","11856","14305","11339","18750","8392","12057","97392","40370","27274","22962","17002","14336","11069","26328","32249","28048","14455","20721","16597","22395","27255","26016","16831","15502","14185","15021","158947","149316","54486","33538","28621","28867","37821","39425","26573","25409","25034","30112","30486","33051","22057","24473","23776","36926","32543","34214","27644","26626","31152","29192","30594","31959","28218","27568","29120","29128","33063","34396","29858","29904","31058","30276","30003","31403","25523","25303","26054","28050","31424","39437","34169","28659","35231","34594","35123","35010","27917","26791","25955","53380","57927","49672","42862","48542","72280","486918","157919","62269","40187","33696","48712","45815","43285","47087","55078","45035","44708","55027","49750","42378","42367","45520","63430","84258","73393","59635","57046","44948","44767","45021","45395","50902","41392","71258","115029","70589","47442","55374","33461"
"New World","New World","1063730","A3A4A6","https://plotset.com/assets/images/steam-icons/New%20World.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","757990","913027","357188","145038","117042","67943","34098","37734","28373","22565","26604","25505","45745","69605","137755","64440","48399","28595"
"Arma 3","Arma 3","107410","1A2217","https://plotset.com/assets/images/steam-icons/Arma%203.jpg","0","0","0","0","0","0","0","0","13225","4536","3496","12108","7311","6657","16612","8435","9270","9373","14464","22331","24278","26302","46089","27777","26977","25334","24971","48521","34213","36250","44621","37577","44092","44017","47553","31440","29783","33455","33954","35323","34353","38659","43922","48734","45506","41127","56185","46030","46635","41000","40858","41168","43745","47649","53102","45279","46509","49352","42285","46003","43759","32339","36019","32097","36994","38629","37049","33206","33378","44337","34393","31609","31989","27029","29690","26432","26667","26948","29454","32582","28270","27708","28985","26030","27462","25846","24676","23954","22119","22863","31684","26403","36117","40307","34175","25514","23272","22575","26059","27524","27725","26626","29006","31637","30058","27972","37235","26135","23244","23447","25623","24113","25963","23204","26073","26730","28222","33692","24021","25933","21679","19124","24526","22732","22240","13422","17333","16683"
"Destiny 2","Destiny 2","1085660","ABA28F","https://plotset.com/assets/images/steam-icons/Destiny%202.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","292314","195407","138593","108724","93065","117425","100645","76476","213681","122236","122520","97247","93741","241843","139723","79290","131640","87476","95209","187504","108306","116526","177734","147513","127770","76188","154358","78752","289895","229002","88326","178829","126948","103075","193209","149576","102690","60854","37786","78958","78090"
"CP2077","Cyberpunk 2077","1091500","D2B42C","https://plotset.com/assets/images/steam-icons/Cyberpunk%202077.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","830387","225670","47115","22890","25322","17885","15703","17110","21483","19706","16250","28779","30227","27587","59061","35109","23181","24052","18516","19519","18695","136724","118285","56955","37258","42818","18969"
"Apex","Apex Legends™","1172470","AA2A11","https://plotset.com/assets/images/steam-icons/Apex%20Legends™.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","117193","112076","129928","196799","228439","217728","330879","266591","262129","330476","273617","248669","318330","242823","264287","392998","353623","370651","411183","352659","347314","510286","497242","386994","403157","327021","338516","130654"
"NARAKA","NARAKA: BLADEPOINT","1203220","003CC1","https://steamcharts.com/assets/steam-images/1203220.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","128628","160720","141344","154161","186707","138595","148721","165976","146195","129636","109793","106751","165639","149175","162366","166259","135258","124913","16046"
"Halo ∞","Halo Infinite","1240440","74D1EA","https://plotset.com/assets/images/steam-icons/Halo%20Infinite.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","256619","147782","62371","31780","15961","10350","21369","8667","7680","6792","7941","6011","12906","5740","6052","1551"
"ELDEN RING","ELDEN RING","1245620","D2B42C","https://plotset.com/assets/images/steam-icons/ELDEN%20RING.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","807951","952523","457067","192569","88390","52347","47252","45238","39776","36112","26656","89561","57811"
"MHR","MONSTER HUNTER RISE","1446780","A3A4A6","https://steamcharts.com/assets/steam-images/1446780.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","133629","61070","27679","20566","31601","193661","230942","143163","62833","58424","54188","43967","32493","11000"
"Master Duel","Yu-Gi-Oh! Master Duel","1449850","943A12","https://steamcharts.com/assets/steam-images/1449850.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","262333","190442","119337","86259","102062","61032","66722","53093","46106","37289","32915","22412","19182","13591"
"CAS","Capcom Arcade Stadium","1515950","D2B42C","https://steamcharts.com/assets/steam-images/1515950.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","624","117","40","26","26","57","481088","51945","387","36","46","40","41","37656","5063","1675","1134","80","263","36","206","32"
"GGD","Goose Goose Duck","1568590","1A2217","https://steamcharts.com/assets/steam-images/1568590.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","118","766","888","721","1124","2196","3159","5223","5847","15973","21362","18019","10872","8627","7909","6677","7095","8927","6056","52934","56347","444363","39099"
"Lost Ark","Lost Ark","1599340","1A2217","https://plotset.com/assets/images/steam-icons/Lost%20Ark.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15469","0","0","0","0","0","0","0","1324761","907696","569729","797694","885379","351516","350545","229630","257779","280576","285148","330334","147311"
"CoD MW2","Call of Duty®: Modern Warfare® II","1938090","52831F","https://plotset.com/assets/images/steam-icons/Call%20of%20Duty®%20Modern%20Warfare®%20II.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","262875","488897","261395","159613","93506"
"XCOM","XCOM: Enemy Unknown","200510","003CC1","https://steamcharts.com/assets/steam-images/200510.jpg","0","0","0","70560","18995","12572","11665","6311","9228","5460","7073","4707","12252","6330","5793","19135","29132","17584","17258","7570","6514","4364","8958","15733","9967","14906","9581","20973","8937","8718","8186","6119","9488","5977","5066","13031","7978","6678","19807","7583","5921","11608","18668","22358","7752","4292","3207","3495","3864","3908","2665","2731","3007","3342","3955","3370","3807","2310","2039","2914","3000","2678","3459","2625","2499","2413","2602","2337","3034","2315","1905","1902","1903","1775","1659","1869","1913","1909","1930","2196","1641","1422","1818","1477","1680","1758","1345","1319","1663","1647","1715","1606","2133","3533","3955","1488","1393","1335","1383","1192","1344","1329","1430","1973","1834","1351","1142","1430","1163","1795","1218","1294","1224","1360","1545","1837","1485","1321","1439","1147","1151","1147","1324","1463","1329","826","1302","863"
"Torchlight II","Torchlight II","200710","AA2A11","https://steamcharts.com/assets/steam-images/200710.jpg","0","0","54010","21202","9725","9462","16073","10498","5097","10316","9414","3795","19745","7634","5053","2982","7613","8607","23546","3993","2430","1965","1684","6596","3431","2057","1604","4760","1937","4108","2894","4641","7100","2937","1902","3392","1794","1552","3108","1415","1414","1846","1954","3663","1646","1386","1297","3925","4141","1286","1180","1272","1809","2145","2397","1423","1184","4010","1309","2606","2377","1244","1163","2260","2233","2715","2386","1856","2910","4568","1269","1477","1492","1056","4061","3277","1928","1530","1501","1323","1049","977","955","898","1068","851","894","825","1161","909","900","1859","1600","1753","1413","1379","1785","1233","798","1065","974","969","1099","689","739","756","1006","778","700","700","616","1892","965","640","719","601","639","658","543","808","552","667","651","562","656","492","636","338"
"CK2","Crusader Kings II","203770","A3A4A6","https://steamcharts.com/assets/steam-images/203770.jpg","3703","2487","2122","2773","2531","4011","4013","4593","3885","3148","8146","8035","6524","5993","5023","3385","5409","6249","5780","5761","9095","6802","5852","6608","5307","5715","5545","10560","6280","8882","7942","11884","7310","5938","6411","7266","8595","6385","6090","8491","6403","6460","6733","9104","6655","6477","6222","5934","6440","10540","10106","6719","6275","7099","7820","7173","11920","7736","7311","6756","7243","8023","8570","6799","9187","8885","9088","7967","6961","140269","10316","8600","9006","8480","9627","7828","20429","14146","12054","10689","9735","13531","12310","10689","9529","10967","9619","18227","15391","11889","12468","12105","13604","13021","15528","11677","9962","13604","10915","7137","5663","5368","5385","5272","5468","5280","5242","4795","4550","4731","4473","4618","4788","4417","4698","4629","4254","4230","4060","3895","3885","4455","5369","4965","4598","2990","3711","3020"
"Saints Row IV","Saints Row IV: Re-Elected","206420","D2B42C","https://steamcharts.com/assets/steam-images/206420.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","38627","16465","7156","6052","6749","42076","2743","1679","7060","2131","9038","6189","7298","2295","10311","5312","8245","40141","5988","5631","2221","6084","3994","1761","1441","21885","6270","3006","4534","4077","3092","1605","3871","1915","3828","3869","1457","1380","4955","4181","3148","3102","5624","2493","6081","1868","3222","2806","11822","1843","5399","2056","2381","2221","1667","1110","1017","916","1618","4138","1192","873","2890","1477","1514","1421","1148","763","613","2582","1236","1314","644","1691","628","1061","1267","1168","708","753","840","820","902","1014","549","1845","785","933","1494","1005","736","1260","708","1285","894","642","905","790","752","1344","584","642","492","374","380","819","596","651","1145","1091","629","580","350","355","234"
"Guns of Icarus","Guns of Icarus Online","209080","1D2C68","https://steamcharts.com/assets/steam-images/209080.jpg","0","71","126","1327","877","185","492","1614","781","366","2009","711","742","2864","498","2207","392","1835","897","2324","581","349","4043","1375","760","1046","457","983","1738","2237","1101","1643","538","402","3175","2616","782","452","468","427","797","730","769","958","498","389","536","697","443","724","443","307","463","504","819","324","570","642","312","322","280","96","181","4748","1906","985","279","255","126","327","102258","1795","1176","1768","961","344","399","996","343","261","98","414","1223","231","6048","91","34","39","98","143","124","525","82","85","153","1374","76","107","54","78","142","101","61","103","116","61","56","98","56","67","38","153","113","51","192","41","36","163","39","28","34","29","159","100","43","12","23","6"
"Starbound","Starbound","211820","1D2C68","https://steamcharts.com/assets/steam-images/211820.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","88355","37933","32463","12103","5544","5121","4397","3947","2949","2854","3018","3252","7747","37653","40131","7418","6049","6119","5799","3153","9362","6085","3828","3703","6889","7054","3723","3352","3206","2873","2627","62201","36367","10725","6716","5697","9678","10753","8767","5788","5622","5494","16542","10190","5927","5965","5895","5917","7527","8050","6178","5349","5180","5484","7465","5848","4241","3705","3753","3780","4568","5009","4571","3747","3775","3868","20116","16528","4472","3484","2891","3636","4636","4599","3995","4333","4368","4180","6506","3292","2710","2794","2921","3587","4001","8734","6443","3345","3040","3018","5266","3459","3053","2924","2587","2975","2837","3340","3026","3142","3045","2824","4114","2943","4792","2497","2514","2492","1686","2708","1935"
"TW:Rome II","Total War™: ROME II - Emperor Edition","214950","AA2A11","https://plotset.com/assets/images/steam-icons/Total%20War™%20ROME%20II%20-%20Emperor%20Edition.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","21","118240","37686","28872","27554","27944","26219","24747","22620","18135","20946","18727","18154","37680","23997","23715","26270","26122","38582","20823","15980","13583","19486","13940","13158","14179","13766","13104","14266","15490","15189","14696","13567","13493","11730","12002","10050","10454","10759","11086","11204","12012","11597","10480","9453","9370","10023","10208","9691","12366","9796","12989","16824","11222","10952","12466","10645","9434","8425","10976","15266","12165","10956","9492","10632","10529","11058","11615","10491","10085","8019","8309","8327","10713","9553","9481","9392","9836","10499","14762","12676","14805","9846","8892","8760","8342","10044","10392","10242","10547","9910","10091","10335","11447","7729","7640","7949","8310","8240","7928","8699","9352","9069","7362","7729","8186","7437","7371","7390","7541","7709","7488","5592","7398","5925"
"PAYDAY 2","PAYDAY 2","218620","003CC1","https://plotset.com/assets/images/steam-icons/PAYDAY%202.jpg","0","0","0","0","0","0","19","24","24","22","30","49","29","57346","26789","11033","15145","16216","16595","11440","55122","15132","37936","63749","57166","24444","20422","72242","59664","30874","32516","15942","81105","27669","13968","33870","21018","63535","24367","52376","39452","28093","32383","25887","39426","31146","14320","43415","34862","13300","20667","41053","25703","20295","20706","26869","13400","52906","16274","247628","99900","62561","56590","92426","57822","57345","55630","51694","58940","90893","48832","40947","38734","23537","20667","21503","24849","22339","15172","14436","12873","13599","21198","18877","23207","17440","15128","27181","56187","37817","39376","31830","36273","39419","61728","56703","48473","46799","45610","54123","57837","56740","54841","44327","34707","53849","57332","54149","55910","52717","45922","46063","50760","61808","48448","47197","47441","47026","54236","48181","68553","66075","58808","57402","52367","42589","69105","39363"
"DayZ","DayZ","221100","1A2217","https://plotset.com/assets/images/steam-icons/DayZ.jpg","0","0","0","3","5","5","4","9","9","6","15","10","9","28","9","23","28","45398","42545","40857","35993","36653","33525","31586","30532","26720","26024","20483","28241","29338","29335","29001","29190","25784","13104","21240","15586","23967","13017","11606","9325","17740","16423","13983","13218","10944","13335","27880","17818","10386","8663","8757","9381","14238","12926","9336","8933","7406","6776","9354","6587","4777","4763","4855","4822","4733","4820","4347","4291","4457","6624","5752","3681","3292","4460","3577","12725","29324","13369","9872","9641","13118","15139","16789","18792","18198","16901","18461","16330","24254","25661","40545","27255","28096","35397","24136","23958","24446","36728","30755","33979","40337","45236","38533","34161","34882","35936","34348","32102","35452","34974","39337","45973","44592","52696","47123","43824","58240","53887","52546","47882","48116","52106","57176","54609","39685","52523","50125"
"Warframe","Warframe","230410","74D1EA","https://plotset.com/assets/images/steam-icons/Warframe.jpg","0","0","0","0","0","0","0","1","19099","21157","19734","19554","15714","14349","18941","16381","18459","18274","16929","21380","21193","26848","19536","19939","31766","28233","25841","34785","32800","29349","28400","28376","42816","40497","37595","29209","49829","44908","38904","48901","37303","58502","50177","49683","66308","47242","44091","41739","61417","46268","39037","34094","68530","56812","47134","45309","69526","50822","47732","51423","58314","55743","58608","121377","102965","76564","69002","82384","81338","85227","73097","129002","118191","107100","86984","99735","131766","89029","82266","74472","115102","107898","97068","74255","94907","96262","80466","60931","87616","84081","59186","70798","88215","94162","76165","81798","58719","154246","90316","69891","68553","70305","60019","61032","83221","79251","77193","69028","181509","74329","82680","71407","73093","118297","77400","57905","62134","87532","84285","68207","91910","58478","77239","55500","58261","58743","44307","42461"
"CoH2","Company of Heroes 2","231430","52831F","https://steamcharts.com/assets/steam-images/231430.jpg","0","0","0","0","0","0","0","0","0","0","0","20747","17138","7074","5777","4902","5343","6334","15920","6900","5337","12957","6645","13912","11106","7730","6953","16043","9872","10709","10720","16489","9299","8020","7634","7908","7890","14321","13473","8948","8845","9229","9524","10814","10001","11471","8933","9580","8514","7204","9183","8787","7466","7910","7818","8894","7344","6736","6666","9473","7122","6213","6307","6780","6763","16560","8856","8701","7199","6320","6087","6447","6664","6645","7267","7006","6600","161908","10349","9384","10168","8335","8575","7896","8281","7548","8175","7898","22270","11057","9080","9319","10982","10802","10265","9611","9176","8336","8272","15608","10801","9906","10364","9477","8962","9084","34707","26401","13557","11618","10681","10461","9211","9060","10091","9516","10357","11100","10091","9660","9675","10576","9511","10561","8715","6170","8700","6859"
"DS2","DARK SOULS™ II","236430","1D2C68","https://plotset.com/assets/images/steam-icons/DARK%20SOULS%20II.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","79528","62791","20171","19797","18980","14299","12085","6984","10976","13159","9439","7312","6352","3486","2119","1720","1952","1808","1825","1617","1832","2068","2373","3165","3987","2280","1006","531","518","564","567","1035","1028","1176","816","743","831","736","784","962","616","892","646","903","1156","1226","857","630","565","549","987","1025","485","378","408","826","791","864","766","547","483","418","593","557","409","442","345","440","535","578","537","502","859","597","386","363","348","297","284","715","678","695","447","362","349","327","611","615","447","309","295","413","599","668","357","473","374","298","208","189","197","222","196","196","200","320","266"
"POE","Path of Exile","238960","943A12","https://plotset.com/assets/images/steam-icons/Path%20of%20Exile.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34371","32066","19838","15468","11782","19489","10266","8630","6713","6922","24493","19303","10832","8257","13689","12184","9982","9857","9761","9818","6689","32284","23239","10759","11805","10025","22345","18744","10241","37266","22159","11266","26111","13960","8356","33220","23384","15690","46807","30442","18905","65200","34829","19390","18274","17660","98110","60597","31448","28475","70314","51656","27843","81781","45570","42316","95824","42784","75364","75484","39108","27484","123462","77233","33488","111114","40773","33842","113258","53530","25500","74653","31634","24832","117757","84600","41010","132508","73985","39620","125432","64732","38067","121595","75814","37936","36730","157091","90539","43963","155138","92312","28019","116106","64671","28338","148447","77811","44935","19478","158140","40699","21433","131010","55119","25422","151145","60837","28030","22330","7024","60967","32694"
