"title_abb","title","id","color","image","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01"
"Fallout 4","Fallout 4","377160","1D2C68","https://plotset.com/assets/images/steam-icons/Fallout%204.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","471955","201635","119272","61739","57102","52480","74283","45855","41541","45998","48954","39948","40096","37794","41471","34587","31843","29010","49675","38111","36800","32696","31836","35886","33736","34512","37190","45111","30503","26203","25653","47573","43476","32239","28436","36389","33389","31485","25206","20610","19879","17822","19712","20831","25568","24918","20097","23275","22661","23706","23023","21988","24354","24455","23912","20948","23204","24206","19804","29702","26621","23305","23877","21274","20908","19732","21237","19487","20199","34180","26916","32662","27235","23085","24939","23963","21708","21733","20626","22069","23753","27516","24300","31142","28190","17755","25619","19412"
"KCD","Kingdom Come: Deliverance","379430","D2B42C","https://steamcharts.com/assets/steam-images/379430.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","95863","40933","11100","4949","6154","12076","4926","6180","8384","6768","9208","13853","8621","6737","5598","4426","7416","8716","6204","12613","5000","5785","5952","6402","8352","6538","10947","5612","8153","5591","4033","4717","4164","4620","5332","6169","5347","12353","6492","4915","5214","5973","8235","4923","4260","7378","5607","6720","10317","4621","5019","5932","5181","5094","6976","3643","5965","4258","3129","5676","4141"
"Layers of Fear","Layers of Fear (2016)","391720","1D2C68","https://steamcharts.com/assets/steam-images/391720.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","203","161","273","252","101","76","738","298","116","235","163","167","335","248","279","280","122","124","80","65","299","101","110","118","371","189","336","331","6315","686","262","180","259","139","143872","893","336","595","549","534","405","283","257","328","838","829","652","545","305","188","520","416","450","260","145","186","172","164","1177","502","110","318","520","429","160","167","167","129","99","110","172","164","96","112","366","358","547","140","123","94","101","90","218","208","88","105","148","334","39","57","34"
"DISTRAINT","DISTRAINT: Deluxe Edition","395170","C628B6","https://plotset.com/assets/images/steam-icons/DISTRAINT%20Deluxe%20Edition.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","73","10","6","6","8","63","17","9","10","8","49","31","2734","292","33","67","60","35","130","23","89","18","53","69","23","52","27","38","31","11","1821","70","27","16","22","22","162795","2405","462","312","251","884","1321","1203","2172","251","255","517","321","650","299","325","422","330","349","1503","510","254","507","359","200","264","92","117","112","75","64","120","992","65","72","103","328","521","247","1682","156","303","635","212","180","1461","229","18","443","31","170","2"
"GMOD","Garry's Mod","4000","003CC1","https://plotset.com/assets/images/steam-icons/Garry's%20Mod.jpg","12253","10711","11674","14158","17995","22009","24427","28488","28326","27237","22094","23434","33522","34321","47070","33252","38574","53559","57327","53387","47455","48674","47497","68101","61425","51503","52741","54617","60734","59773","73750","67527","65458","59154","52285","51539","53414","57865","51555","50740","60907","65324","69854","64930","58183","59069","58486","59819","59522","56748","53570","51015","56678","60887","68016","62069","57946","59032","57000","54424","53019","53370","52726","52376","52605","53203","60078","53530","50266","46921","47581","52300","52636","48101","45605","45573","49693","48799","53218","49239","48267","48291","47105","47984","47362","41907","41436","39520","41070","44534","49001","45063","61933","59682","52658","42557","42318","41437","38216","39824","41428","41597","46668","45995","42699","41837","41150","39465","39573","41736","39242","44654","40869","38682","45812","43667","40548","40079","40925","42290","43359","44204","44439","40118","44316","26556","39033","29169"
"H1Z1","Z1 Battle Royale","433850","943A12","https://steamcharts.com/assets/steam-images/433850.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20916","19414","14312","15118","12895","11969","14232","24677","27893","27399","40645","50537","97404","123838","137985","124069","134487","150179","141064","105111","63253","42289","43250","23231","14518","41891","14339","9446","11302","9985","5914","7001","4927","8534","4010","3574","2050","12731","4694","3416","1805","1018","820","746","1201","623","496","9562","6721","1328","892","409","369","489","535","398","311","2028","442","412","372","7544","3688","728","455","392","244","258","549","183","895","787","326","350","257","264","271","272","322","184","189","146","69","89","80"
"DOS","Divinity: Original Sin 2 - Definitive Edition","435150","AA2A11","https://plotset.com/assets/images/steam-icons/Divinity%20Original%20Sin%202%20-%20Definitive%20Edition.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","2836","1031","537","405","429","644","400","569","1335","1082","548","1172","93350","80081","28670","22602","25690","18026","13298","15236","13900","13409","15874","12939","21541","16400","16332","18421","19299","16908","16278","11219","16297","16892","17387","11484","13128","11151","13944","15258","16728","20692","30748","26454","23788","20039","21244","16765","20410","21786","23345","17059","20036","17390","16458","14072","15803","14431","16103","11734","19586","16177","14265","12658","15604","13652","11860","11903","12421","11905","13457","11022","17262","12663","10897","7702","14603","8362"
"TF2","Team Fortress 2","440","943A12","https://plotset.com/assets/images/steam-icons/Team%20Fortress%202.jpg","62321","117917","90232","106853","80988","73695","74300","72893","72799","71706","75126","77349","72803","74504","77493","74370","79961","86393","83323","83502","82998","80730","80053","90242","76060","83414","93749","101741","104323","97449","94272","90599","89571","84438","84603","78971","83241","85201","90718","91684","91588","82824","80583","83544","83425","81206","77972","72453","72643","72111","74797","81153","77056","71438","77405","77381","74656","72616","73188","69895","66951","69172","73411","97248","84022","71122","72845","69198","57366","58292","56049","57752","59658","57772","58152","97329","93560","116141","66649","65290","63379","60330","54127","57130","93245","64518","64640","73467","69869","103481","76738","78393","85149","88124","85744","79946","89648","96577","86576","130548","101610","146887","111102","133620","113107","118950","123327","150037","134736","92436","100830","107528","121812","129147","129305","93238","92526","94815","91626","138435","139034","120426","133570","127647","116266","101479","135479","80689"
"Skyrim","The Elder Scrolls V: Skyrim Special Edition","489830","A3A4A6","https://steamcharts.com/assets/steam-images/489830.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","14","69777","65584","30528","22528","18727","16316","15364","16427","15695","16929","18461","23312","18622","17725","19724","21459","18673","17857","25182","18427","19321","19319","19106","17567","18838","18616","19864","20884","21698","21780","20798","19843","20020","22225","20823","18680","18408","17841","23687","26377","25303","26291","26917","25892","29337","29916","30978","24612","23284","24514","26658","34631","31961","27364","26159","27567","24341","28758","37370","32075","29879","53665","44625","42340","35593","25798","25601","31156","31229","34192","37365","32587","34949","35973","25163","41436","26966"
"Prismata","Prismata","490220","A68302","https://steamcharts.com/assets/steam-images/490220.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","176","121","121154","1459","987","614","1139","346","373","479","443","356","94","571","1066","305","171","107","382","74","122","155","810","61","43","100","992","2205","220","77","42","85","159","77","100","47","31","44","43","35","23","240","28","27","21","31","37","29","20","19","20","96","22","17","165","101","18","8","9","7"
"Orwell","Orwell: Keeping an Eye On You","491950","ABA28F","https://steamcharts.com/assets/steam-images/491950.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","197","350","323","212","119","211","156","52","545","340","93","59","740","311","98","91","422","294","188","251","104","162","7935","1085","150575","614","1016","362","429","685","802","2778","1113","579","262","485","1615","376","398","297","194","327","308","1209","1164","477","359","525","346","209","263","128","120","174","92","81","179","864","136","390","199","322","513","242","1498","197","166","222","188","178","848","239","107","392","26","170","17"
"BL2","Borderlands 2","49520","AA2A11","https://plotset.com/assets/images/steam-icons/Borderlands%202.jpg","0","0","123596","68559","31391","28993","28507","25383","16153","17604","40649","27818","49680","28306","20874","23777","17302","25836","28057","47105","18448","13248","12169","37558","30875","67322","32832","25558","15119","15743","16789","14115","21917","15930","10242","17472","15088","15419","15346","14744","16804","15408","17772","16127","19014","12387","10762","12360","15058","9480","18784","12956","12446","16062","18099","11971","19286","12665","10136","15238","17654","10483","10113","11901","18854","13769","14723","12875","15599","11831","26724","17063","14474","9224","13833","9892","12946","16548","16585","16798","44256","59333","28233","80287","42052","20265","19528","19282","7649","7177","7021","6709","9735","9866","10516","8398","5711","5513","5081","4172","5798","6227","6809","7971","6516","5711","4896","5663","4923","5066","5515","5776","5305","4952","5266","6246","4648","5657","6401","5977","5499","4442","4338","4301","4355","3105","4480","3299"
"LIS2","Life is Strange 2","532210","C628B6","https://steamcharts.com/assets/steam-images/532210.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4316","1391","381","361","5141","774","273","267","4133","385","413","5543","685","398","607","4629","1517","803","1008","677","787","803","883","627","468634","577","699","756","806","541","1168","784","496","573","592","454","615","447","435","476","515","381","356","288","286","311","306","566","273","233","261","195","336","186"
"L4D2","Left 4 Dead 2","550","AA2A11","https://plotset.com/assets/images/steam-icons/Left%204%20Dead%202.jpg","21811","14848","11229","48599","21298","19518","17873","14424","21574","14109","12116","12810","39026","13284","10982","10267","16177","161590","61325","24471","22266","16210","14600","18392","16811","12255","18732","15176","18037","17356","17156","13285","13014","11863","10543","23097","14321","22453","13055","17636","19403","22646","25363","25228","19083","16524","18322","20215","22622","14040","13374","17778","23367","25743","25699","17223","27825","16743","14534","42217","42773","19287","16800","14657","32064","29351","28171","24918","18384","13680","18821","27239","25777","15285","14538","23062","25246","20702","20122","18087","15316","15029","26978","21723","22293","14930","14519","22339","22226","23710","22868","25124","21184","42699","18881","23371","25107","18679","100965","47697","39300","33893","34475","23915","36938","29097","40653","33686","37870","49003","34682","38013","34769","30845","34605","34758","27129","26434","24981","31533","48800","28640","27982","26901","84991","51616","58545","20922"
"SR3","Saints Row: The Third","55230","ABA28F","https://steamcharts.com/assets/steam-images/55230.jpg","11899","3881","24553","4987","9874","13934","11058","4441","6918","3405","3453","34254","12952","11389","7168","6261","3667","3359","4722","2615","1621","4909","3866","3126","2566","2452","1853","5339","3601","2815","16149","3641","2381","1704","4069","2739","1643","1373","13278","4201","2224","3059","2940","1360","1329","2768","1763","2652","2846","1383","1241","3640","2632","3042","3056","3704","2118","4601","1843","2732","2889","3513","1463","3728","2040","2434","2334","1851","1251","1074","992","1667","3164","1192","929","1979","1260","1555","1467","1230","886","746","2622","1466","1477","771","1489","719","1227","1363","1335","869","988","1190","1275","1228","1348","644","1849","981","1090","1593","1227","955","1528","903","1787","1232","638","968","812","673","1062","609","533","502","415","504","801","575","601","1186","1117","516","456","286","376","292"
"Far Cry 5","Far Cry® 5","552520","A3A4A6","https://plotset.com/assets/images/steam-icons/Far%20Cry®%205.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92377","89574","14343","7706","6717","5731","6725","3556","7569","11615","11258","17762","8804","7159","5088","5062","5917","2698","5425","4031","7040","9383","9409","12472","14170","7378","8641","5911","26436","9424","3901","9813","10527","10024","11476","6521","10098","6620","14973","12283","14272","21032","5536","5293","6317","7897","7343","7579","6292","4003","2823","4883","4298","5632","3911","4737","6122","3449","4993","2001"
"WoWS","World of Warships","552990","D2B42C","https://steamcharts.com/assets/steam-images/552990.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","6739","5113","6648","5209","4310","3877","3896","5496","4679","4831","5634","5710","5373","7247","7074","8439","7582","8385","9346","7744","8628","8471","9496","9365","10845","14168","13968","19807","19402","22687","17708","17330","18580","17432","15958","15604","14343","14254","14059","353413","15662","13218","14760","14732","12355","13522","14757","13004","35676","14182","15091","13895","13213","13056","16100","16371","13567","13204","15848","13589","400538","10248","12022","6015"
"Dota 2","Dota 2","570","AA2A11","https://plotset.com/assets/images/steam-icons/Dota%202.jpg","75041","108689","118724","171860","169631","213521","260989","283870","325598","299667","325815","326160","422617","520532","566715","581615","702792","685503","673496","738682","698197","734998","843024","833145","874975","774319","864261","880655","963810","936583","961737","1262612","1213940","929677","967674","913997","877264","933942","888728","917306","943635","999452","1067949","1248394","1291328","1164041","1075307","1095994","1084198","1117519","1064377","1141191","1007270","1014671","1007451","1040877","956232","921318","972876","923122","824297","876395","829555","832550","861173","864939","778627","779299","773897","733214","844713","796886","701582","829281","826166","739643","826053","765422","874888","964921","1033925","971545","997341","865374","779160","826690","753996","739924","708517","685165","616415","663812","743933","801121","793135","733294","712610","666138","670547","723280","711824","697833","694613","651615","648875","705534","672307","734277","707406","699613","666838","752482","747506","756170","786118","725851","740784","730168","691586","699592","684842","747231","867484","1038848","990057","719615","701797","460571"
"PUBG","PUBG: BATTLEGROUNDS","578080","D2B42C","https://plotset.com/assets/images/steam-icons/PUBG%20BATTLEGROUNDS.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","67846","140104","189456","267194","481291","874171","1550463","2390946","2915723","3080769","3236027","2934761","2799269","2456361","2175704","1750216","1350463","1260894","1125229","1048662","895650","1109766","1084606","931754","931407","886255","817595","745960","745224","750941","660864","637870","695920","686239","645414","606689","562028","913075","553121","546359","469568","443390","403693","381079","438919","444680","451998","447390","464480","453579","419509","427913","413274","444355","400709","393496","341570","363839","696704","532109","535587","527433","468207","413426","391255","395910","448410","440651","425493","390850","465423","154023"
"MHW","Monster Hunter: World","582010","ABA28F","https://plotset.com/assets/images/steam-icons/Monster%20Hunter%20World.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","329333","227644","122588","122496","93833","97088","62427","38456","51840","59524","59244","91104","72823","97996","73764","60774","69511","284090","224419","219544","149860","106972","51086","144000","74252","62376","121990","57301","55776","56758","42501","40090","47791","39877","36858","35844","38707","31712","32584","26674","27479","30826","27162","33413","28485","33243","33112","32419","29381","23866","25284","25857","23016","23899","11625"
"Murderous...","Murderous Pursuits","638070","D2B42C","https://steamcharts.com/assets/steam-images/638070.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","25","19","150","89","39","34","217","20","144294","6851","1806","434","337","241","921","895","1939","570","312","262","609","491","454","307","538","464","355","370","1413","587","421","536","453","233","388","109","131","151","82","84","163","948","64","70","69","296","519","329","1602","238","293","229","233","250","928","273","13","491","4","266","2"
"Civ:BE","Sid Meier's Civilization®: Beyond Earth™","65980","74D1EA","https://steamcharts.com/assets/steam-images/65980.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","86747","38492","11416","36983","7896","7919","5037","4219","4800","3841","18202","3743","13459","6035","5998","8563","6942","4482","3421","3491","4325","3609","2589","4024","2894","1981","1832","2138","2153","2233","1490","1376","1536","1616","1363","1299","1339","2109","1480","1555","1449","1769","1202","1093","1119","1105","996","1077","1050","1429","1373","1321","1372","1076","928","1035","901","1203","949","791","1046","934","980","1033","927","1169","1310","980","981","841","727","766","798","811","862","909","870","704","680","643","712","673","651","642","872","752","706","755","772","751","692","656","598","652","601","780","660","646","462","702","487"
"Broke Protocol","BROKE PROTOCOL: Online City RPG","696370","52831F","https://steamcharts.com/assets/steam-images/696370.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","119","70","53","47","60","52","36","91","65","82","103","98","977","151","96","232","96","113","86","145618","1297","1212","386","873","82","76","154","123","5547","412","253","228","273","259","3124","271","622","68","83","79","1539","74","77","71","74","109","335","91","361","65","76","2115","66","58","64","58","55","126","786","101","79","60","69","58","34","54","58"
"CS:GO","Counter-Strike: Global Offensive","730","D2B42C","https://plotset.com/assets/images/steam-icons/Counter-Strike%20Global%20Offensive.jpg","1642","52261","36057","20850","50533","27553","31359","35238","32166","31966","53379","33700","42149","50511","52052","53263","92279","96298","102084","119764","164495","142526","170137","164134","193613","277192","242494","260613","348018","367634","443188","455508","595439","568556","677701","610401","541181","819902","725939","732093","786707","823694","667432","738969","737599","850485","668612","579110","636056","599095","638360","661985","627124","662460","814616","744468","742356","709841","692966","614621","624785","595781","665371","639968","601881","598405","715850","686588","672502","523262","454481","420261","426008","454370","583029","565968","546031","746548","684511","654069","680071","621614","588453","587724","578933","647461","720052","747937","758412","767060","817229","916996","1145972","1305714","1193359","1009467","857560","925348","977769","943876","1037464","1164396","1124553","1123485","1198581","1148077","1087197","929940","763523","802544","942519","864966","935593","950586","991625","995163","987993","1013237","923996","906670","928329","1039889","1100366","1078860","1129095","911451","969910","882860"
"TW: 3K","Total War: THREE KINGDOMS","779340","003CC1","https://plotset.com/assets/images/steam-icons/Total%20War%20THREE%20KINGDOMS.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","191816","119246","50764","32476","15935","12312","10194","14000","25441","24579","30076","28411","13560","11849","12918","13688","21172","13241","10478","13617","15212","14490","25161","15271","19195","12110","11288","9500","8952","8357","7827","8588","12108","11037","9340","9652","13158","10193","9402","8240","8519","11042","9756","8466","9571","3096"
"Sekiro","Sekiro™: Shadows Die Twice - GOTY Edition","814380","52831F","https://steamcharts.com/assets/steam-images/814380.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","124334","60604","16701","6271","6094","4910","3586","3252","7557","13135","13236","11906","8538","11533","7582","8663","9346","7691","6853","17807","17521","11236","9449","9956","8593","6533","5488","16876","17697","11098","8681","6918","9384","14040","14808","12745","12736","9993","9737","9930","10673","14826","17837","10125","16311","13625","13584","3710"
"BioShock ∞","BioShock Infinite","8870","DDD3C3","https://plotset.com/assets/images/steam-icons/BioShock%20Infinite.jpg","0","0","0","0","0","0","0","0","65198","27908","5163","3293","9773","3661","2622","8689","9112","10749","7924","3188","11172","4831","5553","4901","3979","5394","2798","3017","3529","3441","3498","1831","4801","2185","1452","2950","1896","3236","2354","2174","2648","2423","3228","2512","1486","1263","1275","2370","3640","1309","3374","1858","1375","1224","1332","1031","2746","1210","1005","1763","1999","1878","1234","1291","1982","1154","1411","1201","2169","1782","932","1275","1298","1654","1197","817","1063","1078","1254","1723","1231","845","1255","1314","1178","719","1029","955","1107","1054","1042","1260","1974","1260","1051","1470","1473","1433","1064","1222","1067","968","997","1394","1467","945","1410","1068","1169","862","1412","1004","1170","843","1114","1086","792","829","792","732","661","772","586","615","583","355","577","415"
"Valheim","Valheim","892970","A3A4A6","https://steamcharts.com/assets/steam-images/892970.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","498478","405826","159037","80466","37931","33476","29764","109793","61020","37110","43305","55608","55169","43527","36169","34436","28351","27981","24376","24612","24562","62079","41500","98077","56863"
"Civ V","Sid Meier's Civilization® V","8930","ABA28F","https://plotset.com/assets/images/steam-icons/Sid%20Meier's%20Civilization®%20V.jpg","50756","39110","34696","35714","39677","50891","58386","44966","43780","39478","36679","67729","91020","64123","58003","63023","54473","70367","77825","72416","64115","57627","56011","71677","65738","80375","66292","55493","55229","58038","62502","59719","67160","55583","52490","53711","51898","60338","52194","53106","58683","69206","78252","74716","65453","59108","87959","70936","73683","62143","67413","72026","52910","48348","54215","46403","48783","41840","40425","44145","44623","41594","40656","42065","47074","48964","50503","44824","44139","41942","37341","38205","38489","36625","37802","37020","40849","40420","39943","39474","39067","34050","34109","31057","30404","30817","30234","30986","30669","31810","32681","32225","51448","48881","38861","31355","26766","26788","26250","26851","28367","30135","31565","29459","27158","27026","25968","23696","22945","25305","23945","23439","23605","23558","26440","26362","28089","27159","24490","23336","23225","23137","23204","23544","24302","17730","24195","18785"
"BL1","Borderlands Game of the Year","8980","52831F","https://plotset.com/assets/images/steam-icons/Borderlands%20Game%20of%20the%20Year.jpg","23443","11400","6028","3328","2181","3852","3103","3640","1726","1172","2894","1639","1944","1267","981","1603","1706","1953","2063","1218","943","1073","910","1879","1589","2653","1991","1833","1881","2328","2402","2227","3149","2106","1268","4677","4278","2408","1791","1706","2175","2140","2747","2264","3971","2147","1631","1967","2658","1334","3134","1620","1851","2619","2904","1580","2454","1572","1349","2149","2629","1417","1465","3799","2165","2034","2307","2125","2415","1574","2031","1877","2149","1288","1635","1274","1671","1888","1875","1878","4455","3542","1007","839","656","513","705","494","327","279","271","227","445","565","505","345","244","273","224","208","226","264","290","268","318","267","229","256","252","220","197","250","236","265","273","292","224","243","210","212","230","203","188","181","209","119","212","135"
"Among Us","Among Us","945360","AA2A11","https://plotset.com/assets/images/steam-icons/Among%20Us.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","17","37","26","25","26","29","209","556","676","431","277","262","192","271","859","711","850","1234","2848","6771","73159","438524","372646","336108","181843","118868","75133","130138","97580","28242","21992","19576","17436","16851","14264","25917","18875","19495","16129","12582","16767","13052","12567","11084","10901","12046","13627","12663","6715","10213","6992"
" Tiny Bang Story","The Tiny Bang Story","96000","AA2A11","https://steamcharts.com/assets/steam-images/96000.jpg","174","42","21","19","19","45","33","17","22","14","19","12","15","10","22","15","12","16","19","18","17","80","21","21","19","128","67","29","194","40","138","34","51","40","17","34","213","41","29","23","52","39","55","34","20","40","22","49","29","20","20","25","45","25","35","20","41","25","18","53","44","40","21","34","36","33","83","34","44","19","39","43","29","16","163735","4295","498","1367","392","298","380","514","1178","1173","253","140","124","408","382","341","206","327","376","411","348","1386","794","863","698","458","201","317","137","81","57","40","26","887","659","112","212","145","354","532","328","1870","240","263","245","316","251","756","341","81","497","17","251","7"